                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.29278,                0.32204,                0.89445,                0.77126,                0.76342,                0.80325,                0.79823,                0.15585,                0.67072,                0.76984,              0.0006535,              0.0006535,              0.0006535
                     37,                0.29557,                0.31246,                 0.8894,                  0.762,                0.74177,                0.78919,                0.78401,                0.15806,                0.72716,                0.76833,              0.0006436,              0.0006436,              0.0006436
                     38,                0.29856,                0.30501,                0.89248,                0.74735,                0.77075,                 0.8072,                0.80285,                0.15371,                 0.6972,                0.76855,              0.0006337,              0.0006337,              0.0006337
                     39,                0.29332,                 0.3053,                0.89289,                0.76524,                0.75555,                0.80346,                0.79853,                0.15826,                0.67383,                0.77224,              0.0006238,              0.0006238,              0.0006238
                     40,                0.29901,                0.30585,                0.90172,                0.74625,                0.77458,                0.80388,                0.79967,                0.15273,                0.69396,                0.76929,              0.0006139,              0.0006139,              0.0006139
                     41,                0.29665,                0.30041,                 0.9018,                0.75811,                0.77401,                0.81965,                0.81499,                0.15489,                0.65408,                0.77011,               0.000604,               0.000604,               0.000604
                     42,                0.28918,                0.28514,                0.89149,                0.79011,                0.77273,                0.82771,                0.82267,                0.15486,                0.64177,                0.76877,              0.0005941,              0.0005941,              0.0005941
                     43,                0.29008,                0.29138,                 0.8966,                0.76001,                0.77584,                0.80552,                0.80123,                0.15496,                0.68178,                0.76912,              0.0005842,              0.0005842,              0.0005842
                     44,                0.28881,                0.28331,                0.89751,                 0.7444,                0.76902,                0.80598,                 0.8016,                 0.1542,                0.67129,                0.76919,              0.0005743,              0.0005743,              0.0005743
                     45,                0.29558,                0.28655,                0.89604,                0.77087,                0.76755,                0.81492,                0.81087,                0.15462,                0.63717,                0.76818,              0.0005644,              0.0005644,              0.0005644
                     46,                0.28604,                0.28167,                0.88933,                0.79464,                0.76545,                0.81085,                0.80662,                0.15175,                0.65732,                0.76717,              0.0005545,              0.0005545,              0.0005545
                     47,                0.27814,                0.28045,                0.88633,                0.80113,                0.76784,                0.82095,                0.81666,                0.15304,                 0.6588,                0.77002,              0.0005446,              0.0005446,              0.0005446
                     48,                0.28424,                 0.2804,                 0.8915,                0.79171,                0.77428,                0.81887,                0.81416,                0.15526,                0.66343,                0.76995,              0.0005347,              0.0005347,              0.0005347
                     49,                0.28454,                0.27193,                0.89202,                0.77531,                0.78018,                0.81208,                0.80742,                0.15272,                0.66061,                0.76806,              0.0005248,              0.0005248,              0.0005248
                     50,                0.28923,                0.27908,                0.88917,                0.76567,                0.76813,                0.79868,                0.79437,                0.15071,                0.70934,                0.76691,              0.0005149,              0.0005149,              0.0005149
                     51,                0.28108,                0.26839,                0.88343,                0.76894,                0.76432,                0.80013,                0.79575,                0.15285,                0.67778,                0.76775,               0.000505,               0.000505,               0.000505
                     52,                0.28024,                0.26863,                0.88564,                 0.7712,                0.78444,                0.80785,                0.80331,                0.15357,                0.66338,                0.76687,              0.0004951,              0.0004951,              0.0004951
                     53,                0.28639,                0.26839,                0.89183,                0.75233,                0.75633,                0.79522,                0.79111,                0.15153,                0.71861,                0.76819,              0.0004852,              0.0004852,              0.0004852
                     54,                0.28741,                0.26925,                0.89219,                0.76642,                0.74762,                0.80253,                0.79849,                0.15238,                0.67977,                0.76972,              0.0004753,              0.0004753,              0.0004753
