                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31785,                0.37335,                0.88435,                0.72136,                0.75121,                0.78171,                0.77496,                0.17208,                0.69394,                0.76534,              0.0006535,              0.0006535,              0.0006535
                     37,                0.31823,                 0.3673,                0.88458,                0.77233,                0.72686,                 0.8025,                 0.7963,                0.17119,                0.66584,                0.76392,              0.0006436,              0.0006436,              0.0006436
                     38,                0.32148,                0.37141,                0.88958,                0.75079,                0.73784,                0.80623,                0.80038,                0.16661,                0.64725,                0.76492,              0.0006337,              0.0006337,              0.0006337
                     39,                0.31616,                0.36293,                 0.8851,                0.69589,                 0.7534,                0.78891,                0.78334,                0.17274,                0.71134,                0.76592,              0.0006238,              0.0006238,              0.0006238
                     40,                0.32207,                0.34995,                0.88777,                0.70641,                0.76932,                0.80235,                0.79672,                0.16605,                0.65544,                0.76481,              0.0006139,              0.0006139,              0.0006139
                     41,                0.31809,                0.35192,                0.89061,                 0.7742,                0.75006,                0.81576,                0.80888,                  0.168,                0.61859,                0.76468,               0.000604,               0.000604,               0.000604
                     42,                0.31195,                0.33518,                0.88166,                0.77103,                0.76043,                0.80732,                0.80056,                0.16992,                0.62655,                0.76539,              0.0005941,              0.0005941,              0.0005941
                     43,                0.31305,                0.34001,                0.88338,                0.74522,                0.75087,                0.79599,                0.79037,                0.16902,                0.64995,                0.76603,              0.0005842,              0.0005842,              0.0005842
                     44,                0.31401,                  0.333,                0.88214,                0.74646,                0.74764,                0.79228,                 0.7869,                0.16658,                0.65391,                0.76501,              0.0005743,              0.0005743,              0.0005743
                     45,                0.31571,                0.33317,                0.88512,                0.76792,                0.74032,                0.80733,                0.80144,                0.16777,                0.64307,                 0.7655,              0.0005644,              0.0005644,              0.0005644
                     46,                0.30828,                 0.3329,                0.88616,                0.74464,                0.74429,                0.79875,                0.79359,                0.16482,                0.65897,                0.76449,              0.0005545,              0.0005545,              0.0005545
                     47,                0.30753,                 0.3295,                0.88069,                0.75007,                0.75469,                0.80457,                0.79932,                 0.1659,                0.63544,                0.76446,              0.0005446,              0.0005446,              0.0005446
                     48,                0.30655,                0.32518,                0.88143,                0.78093,                0.74008,                0.81259,                0.80637,                0.16638,                0.62753,                0.76429,              0.0005347,              0.0005347,              0.0005347
                     49,                0.30961,                0.31756,                0.88411,                0.75946,                0.76179,                0.81473,                0.80861,                0.16489,                0.62607,                0.76511,              0.0005248,              0.0005248,              0.0005248
