                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35781,                0.74623,                0.88118,                0.76007,                0.74741,                0.79483,                0.78519,                0.19033,                0.82217,                0.76618,              0.0006535,              0.0006535,              0.0006535
                     37,                0.35313,                0.74078,                 0.8788,                0.74884,                0.73427,                0.79583,                0.78525,                0.19151,                0.83307,                0.76629,              0.0006436,              0.0006436,              0.0006436
                     38,                0.35732,                0.72994,                0.88243,                0.72369,                0.75811,                0.79413,                0.78435,                0.19061,                0.81301,                0.76594,              0.0006337,              0.0006337,              0.0006337
                     39,                0.35147,                0.72938,                0.87542,                0.72473,                0.71892,                0.77874,                0.76906,                0.19451,                0.85508,                0.76653,              0.0006238,              0.0006238,              0.0006238
                     40,                0.35628,                0.72363,                0.88076,                0.74194,                0.73195,                0.77959,                0.76942,                0.19322,                0.83795,                0.76714,              0.0006139,              0.0006139,              0.0006139
                     41,                0.35463,                0.71321,                0.88077,                0.75094,                 0.7566,                0.79903,                0.79012,                 0.1863,                0.78368,                0.76528,               0.000604,               0.000604,               0.000604
                     42,                0.35027,                0.69209,                0.87443,                0.77117,                0.72917,                0.79419,                0.78565,                0.18624,                0.80272,                0.76517,              0.0005941,              0.0005941,              0.0005941
                     43,                0.34766,                 0.6869,                0.87674,                 0.7674,                0.73197,                0.80287,                 0.7946,                0.18564,                0.78825,                0.76521,              0.0005842,              0.0005842,              0.0005842
                     44,                0.34681,                0.67197,                0.87905,                0.72087,                0.75602,                0.79203,                0.78283,                0.18685,                0.80208,                0.76501,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.3501,                0.66761,                0.87993,                  0.774,                0.73414,                0.79448,                 0.7852,                0.18526,                0.78475,                0.76602,              0.0005644,              0.0005644,              0.0005644
                     46,                0.34213,                0.66001,                0.87784,                0.76998,                0.73438,                0.80116,                0.79249,                0.18503,                0.78558,                0.76472,              0.0005545,              0.0005545,              0.0005545
